GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Way There Jhipster,com.mycompany.myapp.web.rest,VehicleResource,281,0,28,0,61,0,23,0,9,0
Way There Jhipster,com.mycompany.myapp.web.rest,AuthenticateController,113,0,2,0,29,0,5,0,4,0
Way There Jhipster,com.mycompany.myapp.web.rest,AccountResource,197,0,24,0,53,0,23,0,11,0
Way There Jhipster,com.mycompany.myapp.web.rest,ReservationResource,291,0,34,0,66,0,25,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest,AuthorityResource,93,0,2,0,19,0,6,0,5,0
Way There Jhipster,com.mycompany.myapp.web.rest,PaymentResource,235,0,18,0,50,0,17,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest,RateResource,249,0,22,0,54,0,19,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest,AccountResource.AccountResourceException,4,0,0,0,2,0,1,0,1,0
Way There Jhipster,com.mycompany.myapp.web.rest,PublicUserResource,84,0,2,0,13,0,5,0,4,0
Way There Jhipster,com.mycompany.myapp.web.rest,DriverResource,249,0,22,0,54,0,19,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest,CustomerResource,249,0,22,0,54,0,19,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest,AuthenticateController.JWTToken,13,0,0,0,6,0,3,0,3,0
Way There Jhipster,com.mycompany.myapp.web.rest,UserResource,264,0,16,0,42,0,16,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest,InsuranceResource,274,0,26,0,59,0,22,0,9,0
Way There Jhipster,com.mycompany.myapp.web.rest,LocationResource,277,0,30,0,62,0,23,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest.vm,KeyAndPasswordVM,17,0,0,0,7,0,5,0,5,0
Way There Jhipster,com.mycompany.myapp.web.rest.vm,LoginVM,30,0,0,0,11,0,8,0,8,0
Way There Jhipster,com.mycompany.myapp.web.rest.vm,ManagedUserVM,14,0,0,0,6,0,4,0,4,0
Way There Jhipster,com.mycompany.myapp.security,UserNotActivatedException,9,0,0,0,4,0,2,0,2,0
Way There Jhipster,com.mycompany.myapp.security,DomainUserDetailsService,101,0,4,0,24,0,9,0,7,0
Way There Jhipster,com.mycompany.myapp.security,SecurityUtils,16,109,6,12,4,20,6,15,0,12
Way There Jhipster,com.mycompany.myapp.security,SpringSecurityAuditorAware,9,0,0,0,2,0,2,0,2,0
